N;Instance;Decoder;Total Distance;Time Spent;Alpha
N020;63;TimeDecoderWithVehicleByPercentage;1429,00;283,58;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1285,41;313,59;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1362,93;281,14;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1274,02;286,96;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1436,21;308,59;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1204,51;273,19;Alpha1
N020;63;TimeDecoderWithVehicleByPercentage;1573,69;281,50;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1361,25;260,63;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1520,79;284,33;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1440,75;287,81;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1411,15;303,99;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1299,06;308,53;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1403,54;302,13;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1285,83;267,94;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1411,93;293,81;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1322,70;316,57;Alpha1
N020;65;PositionalDecoderWithVehicleByPercentage;1467,97;323,24;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1532,06;311,66;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1503,95;311,78;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1420,97;290,08;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1313,85;317,57;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1414,89;312,03;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1367,22;332,34;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1386,04;362,27;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1227,18;377,22;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1133,66;305,87;Alpha1
N020;65;TimeDecoderWithVehicleByPercentage;1297,11;263,10;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1566,06;304,00;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1378,74;291,70;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1683,85;270,66;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1609,54;284,05;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1598,87;294,84;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1430,87;314,39;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1521,11;273,58;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1685,14;304,41;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1459,52;288,27;Alpha1
N020;66;PositionalDecoderWithVehicleByPercentage;1681,07;228,11;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1482,09;314,84;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1302,06;267,77;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1628,20;312,13;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1675,24;320,07;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1388,46;276,35;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1641,12;253,21;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1401,08;286,48;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1431,71;277,06;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1431,85;274,26;Alpha1
N020;66;TimeDecoderWithVehicleByPercentage;1362,63;277,48;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1542,76;263,13;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1484,52;259,44;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1419,00;284,55;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1286,70;322,91;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1599,59;294,34;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1417,14;258,90;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1451,79;327,01;Alpha1
N020;67;PositionalDecoderWithVehicleByPercentage;1327,12;296,89;Alpha1
