N;Instance;Decoder;Total Distance;Time Spent;Alpha
N20;62;TimeDecoderWithVehicleByPercentage;1181,99;328,59;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1558,36;287,80;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1294,13;282,89;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1397,22;309,88;Alpha2
N20;62;TimeDecoderWithVehicleByPercentage;1478,73;273,59;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1498,97;249,22;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1419,76;305,64;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1444,04;302,97;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1417,93;331,50;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1380,78;286,96;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1403,52;311,21;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1358,65;293,60;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1442,01;302,25;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1453,75;298,14;Alpha2
N20;63;PositionalDecoderWithVehicleByPercentage;1289,46;309,21;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1269,23;312,77;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1471,06;281,50;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1507,80;311,00;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1350,43;349,89;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1136,94;309,85;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1371,29;326,98;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1537,35;296,21;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1574,95;379,13;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1276,11;269,17;Alpha2
N20;63;TimeDecoderWithVehicleByPercentage;1475,08;287,91;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1352,02;179,91;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1205,33;240,54;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1338,65;200,79;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1389,99;236,33;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1276,99;251,77;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1318,86;201,78;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1365,82;229,07;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1299,84;251,75;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1232,64;263,58;Alpha2
N20;64;PositionalDecoderWithVehicleByPercentage;1179,13;280,96;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1116,03;246,36;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1233,51;209,89;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1280,88;225,93;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1303,22;225,43;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1130,22;244,77;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1196,06;240,58;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1315,05;180,07;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1404,68;174,25;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1359,32;171,59;Alpha2
N20;64;TimeDecoderWithVehicleByPercentage;1347,74;248,81;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1341,48;323,33;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1298,48;309,41;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1472,47;324,97;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1382,39;327,23;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1325,84;322,06;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1372,06;283,12;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1316,24;332,57;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1457,41;366,15;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1373,01;321,48;Alpha2
N20;65;PositionalDecoderWithVehicleByPercentage;1442,98;346,05;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1374,70;317,92;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1432,71;314,58;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1431,27;298,05;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1441,61;335,98;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1301,16;324,25;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1221,14;323,97;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1422,95;298,27;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1517,00;290,07;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1376,87;266,30;Alpha2
N20;65;TimeDecoderWithVehicleByPercentage;1468,33;334,20;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1604,94;271,74;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1520,66;310,71;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1697,08;289,49;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1210,16;304,81;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1301,57;301,11;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1627,38;282,70;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1449,38;260,21;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1650,42;255,87;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1425,04;277,59;Alpha2
N20;66;PositionalDecoderWithVehicleByPercentage;1437,97;279,16;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1418,22;276,68;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1543,28;272,62;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1774,61;300,57;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1477,04;278,36;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1498,41;264,59;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1730,74;282,03;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1465,67;293,51;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1684,96;272,00;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1586,08;272,54;Alpha2
N20;66;TimeDecoderWithVehicleByPercentage;1505,56;271,87;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1402,80;336,38;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1552,48;283,60;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1288,06;291,69;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1473,23;309,77;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1412,03;302,63;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1586,02;235,46;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1625,72;298,47;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1402,68;315,88;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1412,18;295,25;Alpha2
N20;67;PositionalDecoderWithVehicleByPercentage;1678,35;314,95;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1546,08;324,35;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1434,64;295,80;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1646,19;268,01;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1349,59;321,11;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1411,52;263,18;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1491,09;306,34;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1479,10;323,03;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1328,97;274,48;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1499,51;259,70;Alpha2
N20;67;TimeDecoderWithVehicleByPercentage;1411,46;295,63;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1459,09;236,05;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1328,23;228,97;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1274,13;296,26;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1494,58;259,82;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1468,13;240,72;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1646,06;260,46;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1537,62;260,02;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1331,31;294,92;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1344,81;247,40;Alpha2
N20;69;PositionalDecoderWithVehicleByPercentage;1406,55;252,89;Alpha2
N20;69;TimeDecoderWithVehicleByPercentage;1448,07;250,25;Alpha2
N20;69;TimeDecoderWithVehicleByPercentage;1315,47;297,80;Alpha2
N20;69;TimeDecoderWithVehicleByPercentage;1327,01;281,29;Alpha2
N20;69;TimeDecoderWithVehicleByPercentage;1574,48;272,84;Alpha2
N20;69;TimeDecoderWithVehicleByPercentage;1372,66;293,56;Alpha2
